source,question,split,top1_action,p,n
FTA,q1,closed_doors,D,0.5449,2015
FTA,q2,closed_doors,2FGM,0.2301,1964
AS,q0,closed_doors,2FGM,0.172,9891
AS,q1,closed_doors,2FGM,0.1825,9890
AS,q2,closed_doors,2FGM,0.2176,9844
TO,q0,closed_doors,ST,0.5064,7569
TO,q1,closed_doors,ST,0.5067,7569
TO,q2,closed_doors,2FGM,0.2254,7512
D,q0,closed_doors,2FGM,0.1971,12894
D,q1,closed_doors,CM,0.258,12843
D,q2,closed_doors,2FGM,0.2026,12779
O,q0,closed_doors,2FGM,0.2987,5531
O,q1,closed_doors,D,0.2392,5507
O,q2,closed_doors,2FGM,0.2068,5463
ST,q0,closed_doors,2FGM,0.293,3819
ST,q1,closed_doors,CM,0.2361,3803
ST,q2,closed_doors,2FGM,0.1981,3786
FV,q0,closed_doors,D,0.462,1357
FV,q1,closed_doors,O,0.304,1352
FV,q2,closed_doors,2FGM,0.1973,1348
AG,q0,closed_doors,FV,0.7564,1359
AG,q1,closed_doors,FV,0.7863,1357
AG,q2,closed_doors,2FGM,0.232,1349
CM,q0,closed_doors,RV,0.7487,10075
CM,q1,closed_doors,RV,0.7465,10075
CM,q2,closed_doors,2FGM,0.2184,10028
RV,q0,closed_doors,CM,0.2885,11303
RV,q1,closed_doors,CM,0.3099,11284
RV,q2,closed_doors,FTM,0.1935,11185
OF,q0,closed_doors,TO,0.9956,1126
OF,q1,closed_doors,RV,0.8098,1125
OF,q2,closed_doors,2FGM,0.215,1121
CMU,q0,closed_doors,RV,0.6214,103
CMU,q1,closed_doors,RV,0.6505,103
CMU,q2,closed_doors,3FGA,0.2136,103
CMT,q0,closed_doors,FTM,0.7113,97
CMT,q1,closed_doors,FTM,0.7113,97
CMT,q2,closed_doors,2FGM,0.1959,97
